Year,Competition,Discipline,Round,Rank,SkaterName,SkaterNation,StartingNumber,TSS,TES,PCS,DED,PC,Factor,PScoreofPanel,PScore,Role
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,9.25,J1
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,8.75,J2
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,8.75,J3
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,8.75,J4
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,9.00,J5
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,9.25,J6
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,9.25,J7
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,9.25,J8
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Skating,0.80,9.07,9.25,J9
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,9.00,J1
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,8.50,J2
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,8.00,J3
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,8.50,J4
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,8.75,J5
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,8.75,J6
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,9.00,J7
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,9.00,J8
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Transitions,0.80,8.79,9.00,J9
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.50,J1
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.00,J2
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.00,J3
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.00,J4
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.00,J5
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.50,J6
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.25,J7
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.50,J8
2021,2021gpcan,Women,SP,1,KamilaVALIEVA,RUS,8,84.19,48.04,36.15,0.00,Performance,0.80,9.21,9.25,J9
